sentence,claim_ground_truth,claim_prediction
" Hala, et à l’ESO et 35 36 37 et baccalauréat.",0,0
 Es una planta sin duda estratégica.,0,0
" Si lo hace sólo el Ayuntamiento que hace 63, si confían en las promotoras en la construcción en el sector privado y se apoya en ellas, cuántas pueden hacer?",0,0
" El documento que hemos aprobado tiene algunas cosas que yo no coincido para nada, pero por ejemplo, ha contemplado el plan Cajal que me presentó el presidente casado y como le digo, y en materia de Unión Europea también.",0,0
 Parce qu’on va vérifier.,0,0
 Tell me something.,0,0
 Nous voulons accélérer le traitement de la commission d’enquête du Congrès afin de clarifier une fois pour toutes.,0,0
 And the second?,0,0
" Nous parlons d’un prétendu financement illégal d’une boîte B présumée, et nous parlons aussi d’un cas de carte SIM dans l’affaire.",1,0
 Vous devez savoir lire et vous savez que dans ces moments vous êtes au mieux.,0,0
" J’espère et souhaite que les élections puissent avoir lieu, mais cela devra être dit si ces élections peuvent avoir lieu là-bas à Ordizia.",0,0
 It was also called the head of the nursing homes and small management he has in his file.,1,0
" Pero yo creo que la acción del gobierno, sobretodo en estos últimos meses, ha sido buena para España y para los españoles y las españolas.",0,0
 Por ejemplo el metro de Madrid.,0,0
" Y lo que hacemos ahí es expresar, prestar asesoramiento también a comunidades de vecinos, porque hay un proceso a través del cual la comunidad de vecinos.",0,0
 El partido ovular está abierto a la negociación con el Gobierno de España para los presupuestos del año que viene.,0,0
 L’un plus critique et l’autre apparemment plus institutionnel.,0,0
" As always, we never make forecasts.",0,0
" Immediately came the good question, then and what do we do?",0,0
" Je suis ravi d’accueillir et d’accueillir le Président du gouvernement espagnol, Pedro Sánchez, au milieu de l’été suédois.",0,0
 Idoia Mendia en tant que candidate au déclin du Pays Basque.,0,0
 Nous allons donc continuer à faire notre part pour éviter cette confrontation que ces pièges et le document qui sort représentent les citoyens.,0,0
" Les devoirs ont été accomplis et c’est une fierté en tant que pays, ce qui fait parfois que nous ne disons pas ce que nous faisons bien, qu’à l’époque il y avait 50 000 entreprises qui exportaient celles qui ont été internationalisées et qu’à l’heure actuelle, nous sommes presque 200000.",1,0
" Nous venons de quelques heures où il a été démontré que le gouvernement espagnol, plutôt que de travailler à promouvoir le tourisme, ce qu’il fait, c’est l’attaquer.",0,0
" Parce qu’en effet le rôle de l’armée, j’insiste sur les marges, quel que soit le cas spécifique que nous vivons du virus, parce qu’il s’agit d’une action permanente de sécurité dans tous les domaines.",0,0
 Si le doy la cifra nacional estamos por encima de 130 mil empresas cerradas quebradas.,1,1
 It's the expected result.,0,0
" Unos impuestos que hemos visto que ahora dicen que los Presupuestos Generales no los van a apoyar, pero ya los apoyaron porque el PNV apoyó una investidura de Pedro Sánchez que tenía un acuerdo firmado con Podemos.",1,1
" It allegedly says Mr. González Terán, I ask you to appreciate the reaction you have had.",0,0
 And that's the revival of creating jobs.,0,0
 Et ce sera certainement aussi un élément qui nous permettra de récupérer à nouveau l’afflux de touristes internationaux.,0,0
" Il a été coupé avec la première vente en fonction de la situation économique, qui est devenu tout à fait l’Espagne en tout cas.",0,0
" En outre, malheureusement, dans certaines activités de loisirs mal contrôlées et collectées, les activités temporaires ont également été un secteur d’environ 5%.",0,0
 A los extranjeros que vengan a su alojamiento y que luego salgan de España?,0,0
 Le respondo.,0,0
 Cómo ha recibido el Partido Popular?,0,0
 El PNV también es el fraude en la contratación de médicos.,0,0
" By the way, are those contacts maintained?",0,0
 Ministre.,0,0
 Hay un solo gobierno y Sánchez es el responsable último de acción de gobierno.,0,0
 Mais comment est-ce possible ?,0,0
" Creo que lo primero, como se está actuando el Comité Interterritorial se acaba de convocar.",0,0
" Changing the subject, next Sunday elections in Galicia.",1,0
" Es decir, estamos dando este paso, estamos tomando esta decisión porque estamos convencidos de ciudadanos de que esto es lo mejor para el constitucionalismo en Cataluña, que tenemos que explorar esta alternativa.",0,0
 España tiene una tasa de desempleo estructural muy por encima de la media comunitaria.,1,1
" Vamos a ver, yo me reuní con él, con las empresas, la empresa de Nissan la empresa de Renault en Davos.",0,0
 Por lo tanto si mantenemos los mismos euros algo se ha perdido por el camino de los 13 años.,1,1
" Yesterday we even saw the vice mayor, meeting with traders who are in places that until now were crowded in Madrid of the Austrias in the Plaza Mayor and who are now practically empty.",1,0
" Si usted cree yo la sensación hace unos días cuando la escuchabamos, que un escrache es comparable con el acoso o el hostigamiento que está viviendo la familia de Pablo Iglesias.",0,0
 We don't all act in this health crisis.,0,0
 Are they good for the country?,0,0
 Passons à l’analyse.,0,0
 No sé si debería plantearse esa posible gratuidad o al menos para determinados colectivos en nuestro país.,0,0
" Esta articulación .2 que evidentemente ahora el Tribunal Supremo, pues confirma que lo único que pretende es vaciar de contenido la sentencia.",0,0
 Quiero pensar que han tomado todas las elecciones.,0,0
 Nosotros no vamos a cambiar de opinión y siempre vamos a condenar todo tipo de acoso a cualquier dirigente de cualquier formación política.,0,0
 Me quiero referir expresamente a los más jóvenes porque creo que han sido o fueron los grandes paganos de la crisis sistémica.,0,0
 Nosotros somos un un grupo de personas que conforman ahora la dirección del del Partido Popular y en lo que estamos centrados.,0,0
 Dígame en qué medida le ayuda a España que ustedes les quieren aprobar los presupuestos a un Gobierno que tiene un partido que quiere cargarse a la monarquía y está sustentado en otros partidos que se quieren ir de España?,0,0
 What do you expect from the Prossers.,0,0
 And King Juan Carlos had a role in that construction of constitutional Spain.,1,1
 Nosotros hemos llegado aquí para trabajar.,0,0
 On Tuesdays you plan to last until December because they arrive until September or go until December in certain sectors hit hardest.,0,0
" As I all said, we have to make a common effort to achieve it.",0,0
 The recovery will gradually go because the tourist must be persuaded to travel and not to stay in his home country.,0,0
" Tengamos mucho que aportar la verdad, y nosotros lo que creemos es que primero hay que contar la verdad de cuantos fallecidos tenemos en España, cuántos fallecidos tenemos en la Comunidad de Madrid que por cierto la página, el portal de Transparencia la Comunidad de Madrid.",0,0
" Because that is Spain and where we all can fit with equality between Spaniards and territorial cohesion, to have the degree of economic development and welfare state that we had before the pandemic and that we have to continue to consolidate and consider ourselves.",0,0
 Por qué poner en riesgo cuando todas las fuerzas de oposición están diciendo que faltan certezas respecto a la evolución de la pandemia?,0,0
" I think it's obviously important, but these are issues that we'll have to see how they fit into the big photo in front of us.",0,0
" Pour créer un fonds parallèle à cet excédent de 5 milliards, un fonds qui serait également un autre 5 milliards d’euros avec beaucoup moins de conditionnement afin d’accéder à un certain montant de fonds que les municipalités disent qu’avec ces conditions de restes, il devient très difficile d’accéder aux 5 milliards d’euros de maires de la gauche unie qui ces derniers jours se sont plaints de l’accord du gouvernement avec la Fédération Les municipalités peuvent.",0,0
 He's not going to get into tax reform at the moment.,0,0
 Bruselas Dice que usted misma ha mencionado el riesgo de anexión unilateral de territorios palestinos por Israel en.,0,0
" El Gobierno español se ha comprometido, lleva muchos años de chocón con la región.",0,0
" It is not a decision made by the health authorities, but the situation as I say is complicated.",0,0
 The Renove takes time to outline the foundations so that it can be taken to the Council of Ministers.,0,0
" Radiotelevisión Española, in the exhumation of a dictator of the dictator Franco carried out a historical broadcast with dozens of professionals of the body working on that broadcast.",1,1
 Parmi ces ressources pour améliorer votre.,0,0
 They talk about an entire institution that is not appropriate and call for regime change.,0,0
 But 2 billion euros believe me that give for a lot.,0,0
 El presidente del Gobierno lo ha dicho.,0,0
 Dicen que es vice alcaldesa.,0,0
 It's true that science and knowledge told you.,0,0
 Se puede leer hoy la prensa?,0,0
 Cela dépend aussi beaucoup du segment du tourisme.,0,0
 Advancing fiscal justice is key.,0,0
 Un disparate que se produjo en el tránsito entre entre el final de los grupos de trabajo y la reunión general de la Mesa de Reconstrucción.,0,0
 That threatened the lives of millions of citizens and ended the lives of thousands and thousands of people.,0,0
" Il s’agit d’une question extrêmement difficile, le Conseil européen et européen.",0,0
 Ningún señalamiento como investigado,1,1
" Hier, le président a dit à la Troïka, les hommes en noir.",0,0
" Es posible que el curso no termina el miércoles y el jueves se piense que tenemos la comparecencia del ministro de Sanidad, Salvador Villa, para hablar precisamente sobre la respuesta del Sistema Nacional de Salud a los recortes.",0,0
" Es un plan antesala de planes mucho más ambiciosos que presentaremos durante este verano principios del otoño para los fondos europeos, en los cuales vamos a incidir muy fuertemente en ciencia e innovación en España.",0,0
 El señor Iglesias está optando por la técnica del avestruz.,0,0
 The People's Party is not here right now.,0,0
 En álava han cerrado dos meses de pandemia 35 empresas todos los días.,1,1
" I can set the example of Benidorm, but any other point in Spain can perhaps come to the head of those crowds as well.",0,0
" About who I blame, it seems to me to be an argument.",0,0
" Je vous rappelle qu’un autre conseiller de Ciudadanos Matilde Gubbio a également ouvert un dossier, pour ne pas le faire précisément parce que nous n’avons pas soutenu Coalición Canaria et soutenir le PSOE.",0,0
" O sea, vaya, vaya por delante.",0,0
 You referred to two specific matters to the renewal of the judiciary and to the General Budgets of the State with regard to the Judiciary.,0,0
 No tiene que ser o no es algo distinto que apostar por nuestra economía.,0,0
 Pourquoi cette virulence ?,0,0
" The course may not end on Wednesday and on Thursday it is thought that we have the appearance of the Minister of Health, Salvador Villa, to speak precisely about the response of the National Health System to the cuts.",0,0
" But an agreement is always evidently achieved, on the basis of the defence of rights.",0,0
" Premièrement, en ce qui concerne l’analyse de la situation économique, ce que je leur dirais, c’est que nous voyons en vain les projections les plus récentes étaient les projections faites par la Commission européenne qui sont pratiquement identiques à celles de la Banque centrale européenne elle-même.",0,0
 There's already been a conviction.,0,0
 Je ne conçois pas que quelqu’un ne soutienne pas cet amendement comme précédemment soutenu et pour terminer ce qu’Iñigo a dit un peu.,0,0
 Tienen que tener las administraciones públicas para ayudarlas.,0,0
 Comment envisagez-vous les efforts du gouvernement?,0,0
 Cuando se trata de justificar en base a los informes epidemiológicos la necesidad de esta medida y de adecuarla bien y justificarla bien y en las decisiones que.,0,0
" Estado Todos necesitamos al, así que nadie se podrá acoger a ayudas públicas si no cumplen con esta tercera condición no tributar en paraísos fiscales ni ellas ni sus filiales.",0,0
 One of the issues relating to Covi 19 is the issue of the vaccine.,0,0
 It's deflated with the pandemic.,0,0
" Precisamente por esto, para poder saber cuál es el nivel epidemiológico de cada uno de los estados, la confiabilidad de la capacidad de atención sanitaria o de seguimiento de datos y por supuesto, la capacidad de vigilancia de los desplazamientos que hacemos.",0,0
" À son avis, considérant que certaines personnes parlent de l’objectif de Boris Johnson de couvrir la mauvaise situation épidémiologique du Royaume-Uni pour forcer les touristes britanniques qui visitent notre pays chaque année à dépenser l’argent sur leur cas.",0,0
 I'd like to know.,0,0
" The PNV is now wearing the election mask and that mask is going very soft, it's teaching us.",0,0
" Et quand, en réalité, l’effort des administrations visant à maintenir les fréquences maximales, la propreté maximale, les meilleures recommandations montrent que les transports publics ne sont pas plus précaires que toute autre option.",0,0
" At the moment the last data we have points to some stabilization, but I insist, we will have to wait a few days to see if they take effect.",0,0
" Let us remember that its use is mandatory from the age of six, since almost all communities are forcing them to wear masks.",0,1
" Nous sommes également d’accord avec le gouvernement pour dire que le gouvernement devait envisager une nouvelle réforme des lois administratives et sanitaires afin de renforcer ces outils juridiques, afin que nous puissions fournir une réponse rapide, agile et coordonnée à l’existence des mises à jour.",0,0
" Monsieur Maroto, mais au-delà des raisons, nous pouvons entrer dans le débat.",0,0
 Usted cree que será entonces cuando tocaremos fondo?,0,0
" Y el PNV está apostando por un gobierno en Madrid que se quiere cargar la concertada que le ha dejado a cero fondos de los 2000 millones de euros que van a venir al Fondo de Reconstrucción, que está diciendo que los padres no tenemos libertad para elegir.",1,0
 Por tanto nosotros hoy mismo hemos registrado esa propuesta de bajada del IVA en el sector turístico.,1,1
 Pero a mí me llama sobretodo la atención cuando he escuchado al presidente del Gobierno en los medios de comunicación que no explica cuál es el camino.,0,0
" Mais si Trang l’a fait aussi dans une affaire électorale, non?",0,0
" The very interesting social document as the minimum vital income, comidillas, education with very important situations, was not voted by some groups simply because it was subscribed to Uniteds Podemos and Esquerra Republicana.",0,0
" Eh bien, nous avons en Espagne, corrigez-moi si nous ne le faisons pas.",0,0
" Pues que si el Partido Popular denuncia aquello que está haciendo mal el Gobierno, el mantra del Palacio de la Moncloa y del presidente Sánchez es que crispados.",0,0
" Es alucinante veros a vosotros en un país como éste, teniendo en cuenta cómo son los poderosos de este país y la cantidad de instrumentos económicos y mediáticos que tienen sentados en el banco azul.",0,0
" Eh bien, je dirais d’abord que le 17 juillet, ce que nous jouons n’est pas la reprise économique espagnole n’est pas seulement la reprise économique de l’Europe.",0,0
". Évidemment, il ya un problème de logement que nous devons être les autorités publiques qui le résolvent",0,0
" Y además, si la FP además la hacemos bilingüe en inglés o en francés, o en portugués o en alemán, y tenemos conexiones ya de formación profesional internacional, tenemos trabajos con Francia con el Reino Unido.",0,0
" Por tanto, los fines son críticas que entiendo que están en la normalidad.",0,0
" Y luego está el apartado económico que ya les he dicho que nosotros tenemos ciertas discrepancias, que voy a resumir para no alargar además la pregunta 3, la que he dicho cuanto a la fiscalidad.",0,0
 Nous les déblayons dès le début et nous nous assasons dans les affaires de votre ministère.,0,0
". En segundo lugar, estos rebrotes lo que nos demuestran es que las capacidades estratégicas de las comunidades autónomas en manos de la política sanitaria y también la coordinación del Gobierno de España, está funcionando",0,0
" Lo que vamos a hacer es comprobar evidentemente que en carretera quién conduce, quién pilota un vehículo, quién lo maneja, cumple los requisitos y los ocupantes de los vehículos y evidentemente también circulan ocupar los vehículos en las condiciones de seguridad.",0,0
" Well, I'm very grateful for the question because you told me follow me to my field, where I was very different, which is the one in law, eh?",0,0
" Après la fin de l’état d’alarme, il y avait une seule commande des communautés autonomes.",0,0
 We are an agreement of this coalition government.,0,0
" I want to think that people have confused the Board of Galicia with those responsible for ensuring the security of the electoral process and, where appropriate, also the corresponding Electoral Board.",0,0
" Que responda, pero que responda de verdad, no que se vaya por la tangente como hace permanentemente como hace cada vez que los periodistas, los compañeros periodistas, le preguntan por su vicepresidente.",0,0
" I am accompanied as the delegate of Government in Andalusia, the sub-delegate of the Government in Cadiz and the directors of both The National and International Police and the director of the Civil Guard.",0,0
 Passez un bon après-midi.,0,0
" Madrid a été, comme Milan, comme Londres l’a été ou comme il l’a été à New York, ou comme d’autres villes comme Paris ont été.",1,1
 Et je crois que ni le PP ni Ciudadanos n’ont à se consacrer à cela et surtout en cette période très difficile pour l’Espagne.,0,0
" Eh bien, voyons, je pense que je pense que les dirigeants ne sont pas un débat très technique sur la question des prix actuels des prix constants.",0,0
 A mí lo que me preocupa es el quebranto que puede sufrir España y los españoles si no sabemos afrontar adecuadamente los tiempos económicos y sociales.,0,0
" And this coalition is undoubtedly the one that gives birth to that dark tunnel where we have been put into these ineffective policies of improvisation of mismanagement, both urkullu here in the Basque Country and those of its partners Sánchez and Iglesias in Madrid.",0,0
? Ils ont déjà des données sur les réserves dans l’intérêt des Espagnols cette année,0,0
" Todo ello ha basado nuestros programas electorales desde entonces, nuestras propuestas parlamentarias y nuestras intervenciones.",0,0
 Quién habla de mi problema?,0,0
" It is that Mr. Pablo Iglesias asked permanently, whatever happened, the resignation of practically everyone.",1,0
 Todas las comunidades autónomas hemos decidido eso.,0,0
" Comme c’est déjà le cas avec la nouvelle fourgonnette UBE, qui dispose d’une technologie de moteur électrique avec une autonomie limitée.",0,0
 Ya no sé qué vamos a hacer ahora.,0,0
 That debate is going to come out and the results of the polls.,0,0
 Que el Gobierno es absolutamente transparente.,0,0
 Ils ont dit que le changement climatique n’existait pas.,0,0
" Lorsque nous parlons des plans d’un plan pour y faire face, vous le dites, il faut le faire et le gouvernement doit être à l’avant-garde.",0,0
" Et quand une société civile qui persévère qui insiste sur le fait qu’elle est organisée, qui propose une stratégie intelligente pour atteindre un objectif politique, s’ajoute à un gouvernement capable d’écouter et de comprendre que dans la société il y a un besoin d’amélioration et qu’il y a précisément une politique institutionnelle.",0,0
" Y estamos en un momento además, como sabe, muy delicado.",0,0
" Il ne s’agit plus d’une réforme en cours de réduction, mais que les réformes doivent investir dans la bonne direction.",0,0
 Yo digo decidiendo por vosotros mismos basándonos en los hechos.,0,0
 From that financial framework we will ask that these aids be maintained.,0,0
 Je ne sais pas.,0,0
 The central judge of Instruction Number 6 has removed his victim status because it appears that there was no theft of that memory card.,0,0
 We whenever we work side by side with the territories we usually mark the way together always and of course here in Galicia.,0,0
" L’Espagne peut également mettre, s’il y a des problèmes structurels, les réformes que ces pays doivent mettre en œuvre et qui vont clairement sauter dans le taureau.",0,0
" The problem is that they go through the weeks and we don't have it, and here it's no good to say.",0,0
 Todas las semanas tenemos noticias horribles de las condiciones en las que se trabaja.,0,0
 Yo creo que es una decisión equivocada para Nissan.,0,0
" D’un autre côté, je pense que Podemos est dans cette politique.",0,0
" The truth is, the measure is a little advanced, I think.",0,0
" And the majorities are built by adding and adding around a clear, focused project, with solid foundations and space.",0,0
 How many are you worried about?,0,0
" I'm not saying that I've seen that is the case, that there is a good relationship between all the members of the national leadership.",0,0
 Je pense qu’il essaie d’avoir une réuni on tard dans la nuit et qu’il le fera en toi.,0,0
 Fíjate casi todas las semanas y me duele mucho decirlo.,0,0
" COBIT And indeed yesterday, as the married President presided over that meeting of the Monitoring Committee which we launched at the end of February and from which we are constantly analysing the situation and raising as is our responsibility, instruments that are effective and necessary to resolve what we have before, not to limit fundamental rights without having to resort to the state of alarm.",0,0
 That political project is still alive.,0,0
 Y en el caso del régimen foral tenéis la suerte.,0,0
" Merci beaucoup à tous, merci.",0,0
" Ce que nous devons faire en ce moment Antonio est de relancer l’économie, la reprise économique.",0,0
 Tout le monde s’en souvient.,0,0
" Yo ayer viví un espectáculo, que es que cuando tenemos más de cuarenta mil personas víctimas de la COVID fallecidas, cuando se llega a un acuerdo el acuerdo nosotros lo hemos celebrado.",1,1
 C’est l’occasion.,0,0
" Si hay uno, hay un par de fallas especiales que las empresas en particular para a la subvención deben dar como se está dando hasta ahora pues ayuda a estos tipos, etcétera.",0,0
 Parce que les résultats du face-à-face sont irremplaçables.,0,0
 Cela a été un plaisir et j’espère que vous pouvez les prendre aussi.,0,0
 In cases like this.,0,0
 How was the situation?,0,0
 De Comunicación del Partido Popular Pablo Montesinos Qué tal?,0,0
 C’est pratiquement une surprise et ça va être l’une des absences.,0,0
" Il n’est pas nécessaire que des réformes de la politique organisationnelle et technologique que nous essayons de faire en communion avec tous les responsables de la justice, à mettre en œuvre.",0,0
 Han percibido la importancia de estar en el colegio lo cual es interesante.,0,0
" Caraballo told it before the matter, certainly on the weekend.",0,0
 Cela peut se faire en quelques semaines.,0,0
 Hemos trabajado muy duro para poder definir esos protocolos de seguridad y cualquiera de vosotros habéis podido descansar algún día.,0,0
" Lógicamente, esto no sólo no es la gestión ordinaria de la salud de la sanidad, de las comunidades autónomas y por tanto, sí que sí tiene la habilidad y la obligación de seguir ejerciendo como autoridad sanitaria.",0,0
 Je sais.,0,0
" Ce qui est clair, c’est que la ligne rouge est essentiellement que les budgets doivent défendre la classe moyenne.",0,0
 Regardez la première chose pour préciser que le Parti socialiste lui-même n’est pas non plus en faveur de la taxe sur les grandes fortunes.,0,0
" Good morning, how are you?",0,0
 Ce n’est pas volontaire.,0,0
 Moins de 4 milliards d’euros vont être donnés ici.,0,1
 Como las que ha presentado Casado Sánchez en su plan de.,0,0
" Et ils ne veulent pas de ce plan gouvernemental, ce qu’ils veulent, c’est que les mairies puissent gérer ces économies, insiste-t-il.",0,0
 For the ballot of this coalition to be in the polls on July 12.,0,0
 No puede haber ayudas públicas para empresas que no estén comprometidas con los hombres y las mujeres cobren el mismo salario por el mismo trabajo.,0,0
" Pido el voto para la Constitución, para la coalición Partido Popular Ciudadanos, porque es el voto para la economía, para gestionar bien la economía, para gestionar bien el empleo, para crear empleo, para que los autónomos tengan salida, para que?",0,0
" Tendrá la ocasión de poder comer con mi querido amigo el primer ministro holandés, que es verdad que tenemos amistad, pero que efectivamente en esta cuestión no tenemos una visión compartida de cómo resolver esta crisis.",0,0
" Obviamente, como estamos viendo en este momento, pues este brote ha de ser identificado con rapidez.",0,0
 Comment allons-nous ne pas dépenser des ressources que nous n’avons pas.,0,0
 Del papel que ha jugado Pedro Sánchez se lo digo porque ayer fue bastante crítico con el Partido Popular.,0,0
 You know that ministers in the Council of Ministers in Spain have passed five or six very important legislations on climate change.,1,1
 Je pense que c’est le moment.,0,0
" And what I have to do with this and I think is good news is that the People's Party is now voting in favour of the conclusions of the Committee on Reconstruction, which I also proposed to Pedro Sánchez more than two months ago in the European environment to give strength after the Council's agreement to negotiate the various programmes receiving Community funds in Spain.",0,0
" Par exemple, eh bien, c’est toujours du talent, mais à l’heure actuelle, plus les jeunes accèdent à l’université, plus il y a de talent.",0,0
 It would not be an intermediate scenario before we get to more forceful measures.,0,0
" Hay que ponernos de acuerdo y hay que fortalecer esa, esa demanda y la regulación que podemos llevar a la práctica desde las instituciones, pero también el prestar atención y ofrecer la información y la transparencia adecuadas para que para que haya una demanda creciente en esa mesa, en esa dirección.",0,0
 As a spokesman who has been our spokesman and they have this in their house.,0,0
 I keep insisting on how many health workers there have been since the pandemic began.,0,0
" Entregárselo a la soberanía al pueblo español, a las Cortes en unas elecciones democráticas y quedando como jefe del Estado que reina pero que no gobierna.",0,0
" Et il y aura, par exemple, avec le cas des Citoyens, des occasions où il est parfaitement possible d’arriver.",0,0
 The actual death toll has not yet appeared.,0,1
